
2024/08/23 (16:04:13) | ===> btop++ v.1.3.2
2024/08/23 (16:04:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/25 (18:06:32) | ===> btop++ v.1.3.2
2024/08/25 (18:06:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (22:31:41) | ===> btop++ v.1.3.2
2024/08/27 (22:31:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (22:49:09) | ===> btop++ v.1.3.2
2024/08/28 (22:49:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/01 (18:54:31) | ===> btop++ v.1.3.2
2024/09/01 (18:54:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (11:28:49) | ===> btop++ v.1.3.2
2024/09/15 (11:28:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (13:32:39) | ===> btop++ v.1.3.2
2024/09/16 (13:32:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (11:24:50) | ===> btop++ v.1.4.0
2024/09/26 (11:24:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (11:24:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (09:48:44) | ===> btop++ v.1.4.0
2024/10/14 (09:48:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (09:48:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (09:57:07) | ===> btop++ v.1.4.0
2024/10/14 (09:57:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (09:57:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (08:51:22) | ===> btop++ v.1.4.0
2024/10/15 (08:51:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (08:51:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:37:38) | ===> btop++ v.1.4.0
2024/10/16 (16:37:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:37:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:38:55) | ===> btop++ v.1.4.0
2024/10/16 (16:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:39:39) | ===> btop++ v.1.4.0
2024/10/16 (16:39:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:39:42) | ===> btop++ v.1.4.0
2024/10/16 (16:39:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:39:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:42:02) | ===> btop++ v.1.4.0
2024/10/16 (16:42:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:42:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:43:35) | ===> btop++ v.1.4.0
2024/10/16 (16:43:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (16:43:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (17:09:43) | ===> btop++ v.1.4.0
2024/10/16 (17:09:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (17:09:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (13:44:39) | ===> btop++ v.1.4.0
2024/10/27 (13:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (13:44:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (12:33:01) | ===> btop++ v.1.4.0
2024/11/03 (12:33:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (12:33:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (13:27:10) | ===> btop++ v.1.4.0
2024/11/22 (13:27:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (13:27:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (14:03:48) | ===> btop++ v.1.4.0
2024/11/22 (14:03:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (14:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (15:27:23) | ===> btop++ v.1.4.0
2024/11/22 (15:27:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (15:27:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (11:03:35) | ===> btop++ v.1.4.0
2024/11/25 (11:03:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/25 (11:03:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (00:02:22) | ===> btop++ v.1.4.0
2024/12/02 (00:02:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/02 (00:02:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (10:07:44) | ===> btop++ v.1.4.0
2024/12/02 (10:07:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/02 (10:07:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (17:39:05) | ===> btop++ v.1.4.0
2025/01/30 (17:39:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/30 (17:39:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (13:32:31) | ===> btop++ v.1.4.0
2025/02/10 (13:32:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/10 (13:32:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (18:43:42) | ===> btop++ v.1.4.0
2025/02/25 (18:43:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (18:43:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (17:10:26) | ===> btop++ v.1.4.0
2025/03/07 (17:10:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/07 (17:10:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (19:48:46) | ===> btop++ v.1.4.0
2025/04/06 (19:48:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (19:48:46) | WARNING: Intel GPU: Failed to initialize PMU
